Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,119.888,-99.822,0,top
C2,15pF,C_0402_1005Metric,120.269,-105.283,0,top
C3,1uF,C_0402_1005Metric,121.691,-98.351,90.000000,top
C4,1uF,C_0402_1005Metric,119.890,-98.780,0.000000,top
D1,LED,LED_0603_1608Metric,176.784,-150.876,180,top
D2,LED,LED_0603_1608Metric,176.784,-149.352,180,top
D3,LED,LED_0603_1608Metric,176.784,-147.828,180,top
D4,LED,LED_0603_1608Metric,176.784,-146.304,180,top
D5,LED,LED_0603_1608Metric,176.784,-144.78,180,top
D6,LED,LED_0603_1608Metric,176.784,-143.256,180,top
D7,LED,LED_0603_1608Metric,176.784,-141.732,180,top
D8,LED,LED_0603_1608Metric,176.784,-140.208,180,top
D9,LED,LED_0603_1608Metric,176.784,-138.303,180,top
D10,LED,LED_0603_1608Metric,176.784,-136.779,180,top
D11,LED,LED_0603_1608Metric,176.784,-135.255,180,top
D12,LED,LED_0603_1608Metric,176.784,-133.731,180,top
D13,LED,LED_0603_1608Metric,176.784,-132.207,180,top
D14,LED,LED_0603_1608Metric,176.784,-130.683,180,top
D15,LED,LED_0603_1608Metric,176.784,-129.159,180,top
D16,LED,LED_0603_1608Metric,176.784,-127.635,180,top
D17,LED,LED_0603_1608Metric,176.784,-125.73,180,top
D18,LED,LED_0603_1608Metric,176.784,-124.206,180,top
D19,LED,LED_0603_1608Metric,176.784,-122.682,180,top
D20,LED,LED_0603_1608Metric,176.784,-121.158,180,top
D21,LED,LED_0603_1608Metric,176.784,-119.634,180,top
D22,LED,LED_0603_1608Metric,176.784,-118.11,180,top
D23,LED,LED_0603_1608Metric,176.784,-116.586,180,top
D24,LED,LED_0603_1608Metric,176.784,-114.173,180,top
D25,LED,LED_0603_1608Metric,179.705,-73.152,180,top
D26,LED,LED_0603_1608Metric,179.705,-74.676,180,top
D27,LED,LED_0603_1608Metric,179.705,-76.2,180,top
D28,LED,LED_0603_1608Metric,179.705,-77.806199,180,top
D29,LED,LED_0603_1608Metric,179.705,-79.248,180,top
D30,LED,LED_0603_1608Metric,179.705,-80.772,180,top
D31,LED,LED_0603_1608Metric,179.705,-82.296,180,top
D32,LED,LED_0603_1608Metric,179.705,-83.82,180,top
D33,LED,LED_0603_1608Metric,179.705,-86.106,180,top
D34,LED,LED_0603_1608Metric,179.705,-87.63,180,top
D35,LED,LED_0603_1608Metric,179.705,-89.154,180,top
D36,LED,LED_0603_1608Metric,179.705,-90.678,180,top
D37,LED,LED_0603_1608Metric,179.705,-92.202,180,top
D38,LED,LED_0603_1608Metric,179.705,-93.726,180,top
D39,LED,LED_0603_1608Metric,179.705,-95.25,180,top
D40,LED,LED_0603_1608Metric,179.705,-96.774,180,top
D41,LED,LED_0603_1608Metric,92.329,-117.348,0,top
D42,LED,LED_0603_1608Metric,92.329,-115.824,0,top
D43,LED,LED_0603_1608Metric,92.329,-114.3,0,top
D44,LED,LED_0603_1608Metric,92.329,-112.776,0,top
D45,LED,LED_0603_1608Metric,92.329,-111.252,0,top
D46,LED,LED_0603_1608Metric,92.329,-109.728,0,top
D47,LED,LED_0603_1608Metric,92.329,-108.204,0,top
D48,LED,LED_0603_1608Metric,92.329,-106.68,0,top
D49,LED,LED_0603_1608Metric,92.329,-105.156,0,top
D50,LED,LED_0603_1608Metric,92.329,-103.632,0,top
D51,LED,LED_0603_1608Metric,92.329,-102.108,0,top
D52,LED,LED_0603_1608Metric,92.329,-100.584,0,top
D53,LED,LED_0603_1608Metric,92.329,-149.86,0,top
D54,LED,LED_0603_1608Metric,92.329,-148.336,0,top
D55,LED,LED_0603_1608Metric,92.329,-146.812,0,top
D56,LED,LED_0603_1608Metric,92.329,-145.288,0,top
D57,LED,LED_0603_1608Metric,92.329,-143.764,0,top
D58,LED,LED_0603_1608Metric,92.329,-142.24,0,top
D59,LED,LED_0603_1608Metric,92.329,-140.716,0,top
D60,LED,LED_0603_1608Metric,92.329,-139.192,0,top
J1,USB_B_Micro,micro_usb_U-F-M5SS-W-1,113.665,-59.055,90,top
R1,0 R,R_0402_1005Metric,122.631,-101.295,0,top
RN1,R_Pack04,R_Array_Concave_4x0402,174.752,-110.236,0,top
RN2,R_Pack04,R_Array_Concave_4x0402,178.816,-110.236,0,top
RN3,R_Pack04,R_Array_Concave_4x0402,181.61,-110.236,0,top
RN4,R_Pack04,R_Array_Concave_4x0402,182.372,-154.432,180,top
RN5,R_Pack04,R_Array_Concave_4x0402,179.07,-154.432,180,top
RN6,R_Pack04,R_Array_Concave_4x0402,175.768,-154.432,180,top
RN7,R_Pack04,R_Array_Concave_4x0402,178.308,-69.342,0,top
RN8,R_Pack04,R_Array_Concave_4x0402,181.864,-69.342,0,top
RN9,R_Pack04,R_Array_Concave_4x0402,181.737,-100.965,180,top
RN10,R_Pack04,R_Array_Concave_4x0402,178.562,-100.965,180,top
RN11,R_Pack04,R_Array_Concave_4x0402,87.122,-95.885,0,top
RN12,R_Pack04,R_Array_Concave_4x0402,89.916,-95.885,0,top
RN13,R_Pack04,R_Array_Concave_4x0402,92.71,-95.885,0,top
RN14,R_Pack04,R_Array_Concave_4x0402,90.297,-151.765,180,top
RN15,R_Pack04,R_Array_Concave_4x0402,90.424,-137.287,0,top
U1,3v3_LDO,SOT-23,120.243,-96.393,0,top
X1,8MHz,Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm,119.888,-102.489,0,top
